Train,Test,seed=42,seed=17,Mean,Std
en-UK,en-UK,0.680139575457982,0.6723130537302564,0.6762263145941192,0.003913260863862789
en-UK,en-AU,0.6139585304682548,0.635074979483226,0.6245167549757404,0.010558224507485614
en-UK,en-IN,0.5906984209787123,0.5774324826275449,0.5840654518031285,0.006632969175583703
en-AU,en-UK,0.6077474816729076,0.6103666897459916,0.6090570857094496,0.0013096040365420114
en-AU,en-AU,0.7776936128954066,0.7617814297790557,0.7697375213372312,0.007956091558175449
en-AU,en-IN,0.5133613393788973,0.5125501359935406,0.5129557376862189,0.0004056016926783368
en-IN,en-UK,0.5298507462686567,0.6469994957135653,0.588425120991111,0.0585743747224543
en-IN,en-AU,0.42709526288391464,0.4894419396854022,0.4582686012846584,0.031173338400743794
en-IN,en-IN,0.6087216538169358,0.6425613252628226,0.6256414895398792,0.01691983572294342
